group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple parsing,,,,,1164431.0,ns,4
simple parsing,,,,,2234810.0,ns,8
simple parsing,,,,,3338690.0,ns,12
simple parsing,,,,,4495732.0,ns,16
simple parsing,,,,,5733711.0,ns,20
simple parsing,,,,,6728890.0,ns,24
simple parsing,,,,,7804567.0,ns,28
simple parsing,,,,,8974820.0,ns,32
simple parsing,,,,,10334790.0,ns,36
simple parsing,,,,,11133254.0,ns,40
simple parsing,,,,,12274792.0,ns,44
simple parsing,,,,,13546594.0,ns,48
simple parsing,,,,,14580078.0,ns,52
simple parsing,,,,,15798194.0,ns,56
simple parsing,,,,,16826055.0,ns,60
simple parsing,,,,,17938122.0,ns,64
simple parsing,,,,,19032322.0,ns,68
simple parsing,,,,,20325750.0,ns,72
simple parsing,,,,,21261625.0,ns,76
simple parsing,,,,,22522331.0,ns,80
simple parsing,,,,,23674057.0,ns,84
simple parsing,,,,,24885691.0,ns,88
simple parsing,,,,,26071914.0,ns,92
simple parsing,,,,,27063574.0,ns,96
simple parsing,,,,,28376694.0,ns,100
simple parsing,,,,,29145007.0,ns,104
simple parsing,,,,,30283238.0,ns,108
simple parsing,,,,,31366519.0,ns,112
simple parsing,,,,,32723929.0,ns,116
simple parsing,,,,,33554595.0,ns,120
simple parsing,,,,,34830981.0,ns,124
simple parsing,,,,,35924642.0,ns,128
simple parsing,,,,,37160172.0,ns,132
simple parsing,,,,,38166462.0,ns,136
simple parsing,,,,,39314046.0,ns,140
simple parsing,,,,,40646459.0,ns,144
simple parsing,,,,,41553919.0,ns,148
simple parsing,,,,,42911566.0,ns,152
simple parsing,,,,,44202790.0,ns,156
simple parsing,,,,,45128165.0,ns,160
simple parsing,,,,,46012965.0,ns,164
simple parsing,,,,,47320910.0,ns,168
simple parsing,,,,,48266017.0,ns,172
simple parsing,,,,,49395717.0,ns,176
simple parsing,,,,,50582285.0,ns,180
simple parsing,,,,,51770328.0,ns,184
simple parsing,,,,,53422932.0,ns,188
simple parsing,,,,,54095824.0,ns,192
simple parsing,,,,,55338360.0,ns,196
simple parsing,,,,,56321238.0,ns,200
simple parsing,,,,,57571634.0,ns,204
simple parsing,,,,,58889622.0,ns,208
simple parsing,,,,,59641267.0,ns,212
simple parsing,,,,,60859088.0,ns,216
simple parsing,,,,,62036127.0,ns,220
simple parsing,,,,,63281443.0,ns,224
simple parsing,,,,,64416467.0,ns,228
simple parsing,,,,,65538149.0,ns,232
simple parsing,,,,,66805638.0,ns,236
simple parsing,,,,,68727599.0,ns,240
simple parsing,,,,,68556526.0,ns,244
simple parsing,,,,,70252007.0,ns,248
simple parsing,,,,,71133866.0,ns,252
simple parsing,,,,,72526884.0,ns,256
simple parsing,,,,,73624513.0,ns,260
simple parsing,,,,,75124605.0,ns,264
simple parsing,,,,,76819607.0,ns,268
simple parsing,,,,,77363394.0,ns,272
simple parsing,,,,,78061199.0,ns,276
simple parsing,,,,,79494182.0,ns,280
simple parsing,,,,,80392093.0,ns,284
simple parsing,,,,,82066189.0,ns,288
simple parsing,,,,,83452441.0,ns,292
simple parsing,,,,,84054485.0,ns,296
simple parsing,,,,,85408013.0,ns,300
simple parsing,,,,,86188500.0,ns,304
simple parsing,,,,,88095647.0,ns,308
simple parsing,,,,,88830052.0,ns,312
simple parsing,,,,,90422020.0,ns,316
simple parsing,,,,,90751273.0,ns,320
simple parsing,,,,,91612803.0,ns,324
simple parsing,,,,,92677590.0,ns,328
simple parsing,,,,,95444460.0,ns,332
simple parsing,,,,,101168053.0,ns,336
simple parsing,,,,,102664672.0,ns,340
simple parsing,,,,,103843160.0,ns,344
simple parsing,,,,,104094576.0,ns,348
simple parsing,,,,,107054789.0,ns,352
simple parsing,,,,,100484324.0,ns,356
simple parsing,,,,,103537854.0,ns,360
simple parsing,,,,,104043036.0,ns,364
simple parsing,,,,,104999609.0,ns,368
simple parsing,,,,,106169260.0,ns,372
simple parsing,,,,,107677844.0,ns,376
simple parsing,,,,,107700699.0,ns,380
simple parsing,,,,,109149299.0,ns,384
simple parsing,,,,,111161038.0,ns,388
simple parsing,,,,,111402879.0,ns,392
simple parsing,,,,,112874391.0,ns,396
simple parsing,,,,,113711714.0,ns,400
