group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple parsing,,,,,1323526.0,ns,4
simple parsing,,,,,2458167.0,ns,8
simple parsing,,,,,3875725.0,ns,12
simple parsing,,,,,5042155.0,ns,16
simple parsing,,,,,6324771.0,ns,20
simple parsing,,,,,7863671.0,ns,24
simple parsing,,,,,8751801.0,ns,28
simple parsing,,,,,9958541.0,ns,32
simple parsing,,,,,11159714.0,ns,36
simple parsing,,,,,12450009.0,ns,40
simple parsing,,,,,13716795.0,ns,44
simple parsing,,,,,14812098.0,ns,48
simple parsing,,,,,16137485.0,ns,52
simple parsing,,,,,17585859.0,ns,56
simple parsing,,,,,18643727.0,ns,60
simple parsing,,,,,19813623.0,ns,64
simple parsing,,,,,21089492.0,ns,68
simple parsing,,,,,22208725.0,ns,72
simple parsing,,,,,23624996.0,ns,76
simple parsing,,,,,24946815.0,ns,80
simple parsing,,,,,26022541.0,ns,84
simple parsing,,,,,27115967.0,ns,88
simple parsing,,,,,28598789.0,ns,92
simple parsing,,,,,29798539.0,ns,96
simple parsing,,,,,31163429.0,ns,100
simple parsing,,,,,32122076.0,ns,104
simple parsing,,,,,33449274.0,ns,108
simple parsing,,,,,34671530.0,ns,112
simple parsing,,,,,36808263.0,ns,116
simple parsing,,,,,37086955.0,ns,120
simple parsing,,,,,38453813.0,ns,124
simple parsing,,,,,39657663.0,ns,128
simple parsing,,,,,40876931.0,ns,132
simple parsing,,,,,41979696.0,ns,136
simple parsing,,,,,43479729.0,ns,140
simple parsing,,,,,44393504.0,ns,144
simple parsing,,,,,45933493.0,ns,148
simple parsing,,,,,47068546.0,ns,152
simple parsing,,,,,48156856.0,ns,156
simple parsing,,,,,49724687.0,ns,160
simple parsing,,,,,51936369.0,ns,164
simple parsing,,,,,52024989.0,ns,168
simple parsing,,,,,53409931.0,ns,172
simple parsing,,,,,54403411.0,ns,176
simple parsing,,,,,55805271.0,ns,180
simple parsing,,,,,56780131.0,ns,184
simple parsing,,,,,58027332.0,ns,188
simple parsing,,,,,59273602.0,ns,192
simple parsing,,,,,60632275.0,ns,196
simple parsing,,,,,63042657.0,ns,200
simple parsing,,,,,63259713.0,ns,204
simple parsing,,,,,64163613.0,ns,208
simple parsing,,,,,65780841.0,ns,212
simple parsing,,,,,66932546.0,ns,216
simple parsing,,,,,68174407.0,ns,220
simple parsing,,,,,69368479.0,ns,224
simple parsing,,,,,71862986.0,ns,228
simple parsing,,,,,72095531.0,ns,232
simple parsing,,,,,73133102.0,ns,236
simple parsing,,,,,74477017.0,ns,240
simple parsing,,,,,75524331.0,ns,244
simple parsing,,,,,76795286.0,ns,248
simple parsing,,,,,78022139.0,ns,252
simple parsing,,,,,80185879.0,ns,256
simple parsing,,,,,80423123.0,ns,260
simple parsing,,,,,81730721.0,ns,264
simple parsing,,,,,85285360.0,ns,268
simple parsing,,,,,84436055.0,ns,272
simple parsing,,,,,85696745.0,ns,276
simple parsing,,,,,88027062.0,ns,280
simple parsing,,,,,88068598.0,ns,284
simple parsing,,,,,89372057.0,ns,288
simple parsing,,,,,90622824.0,ns,292
simple parsing,,,,,91922388.0,ns,296
simple parsing,,,,,93972818.0,ns,300
simple parsing,,,,,94553600.0,ns,304
simple parsing,,,,,95242869.0,ns,308
simple parsing,,,,,96614447.0,ns,312
simple parsing,,,,,97869686.0,ns,316
simple parsing,,,,,99357780.0,ns,320
simple parsing,,,,,101447759.0,ns,324
simple parsing,,,,,101890184.0,ns,328
simple parsing,,,,,102938782.0,ns,332
simple parsing,,,,,108820722.0,ns,336
simple parsing,,,,,129598901.0,ns,340
simple parsing,,,,,139060707.0,ns,344
simple parsing,,,,,131770905.0,ns,348
simple parsing,,,,,130842544.0,ns,352
simple parsing,,,,,127899139.0,ns,356
simple parsing,,,,,112365831.0,ns,360
simple parsing,,,,,113241434.0,ns,364
simple parsing,,,,,114384972.0,ns,368
simple parsing,,,,,116395506.0,ns,372
simple parsing,,,,,117325230.0,ns,376
simple parsing,,,,,120781379.0,ns,380
simple parsing,,,,,119877245.0,ns,384
simple parsing,,,,,120877181.0,ns,388
simple parsing,,,,,122714915.0,ns,392
simple parsing,,,,,122784754.0,ns,396
simple parsing,,,,,123908912.0,ns,400
