group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 10,,,,,1074742.0,ns,13
fibonacci 10,,,,,2040654.0,ns,26
fibonacci 10,,,,,3026183.0,ns,39
fibonacci 10,,,,,4205295.0,ns,52
fibonacci 10,,,,,5828243.0,ns,65
fibonacci 10,,,,,6078907.0,ns,78
fibonacci 10,,,,,7297958.0,ns,91
fibonacci 10,,,,,8433165.0,ns,104
fibonacci 10,,,,,9174358.0,ns,117
fibonacci 10,,,,,10360117.0,ns,130
fibonacci 10,,,,,11324942.0,ns,143
fibonacci 10,,,,,12299354.0,ns,156
fibonacci 10,,,,,13601884.0,ns,169
fibonacci 10,,,,,14352339.0,ns,182
fibonacci 10,,,,,15278982.0,ns,195
fibonacci 10,,,,,16774732.0,ns,208
fibonacci 10,,,,,17712540.0,ns,221
fibonacci 10,,,,,18342228.0,ns,234
fibonacci 10,,,,,19038871.0,ns,247
fibonacci 10,,,,,20698261.0,ns,260
fibonacci 10,,,,,21341890.0,ns,273
fibonacci 10,,,,,22379311.0,ns,286
fibonacci 10,,,,,22772731.0,ns,299
fibonacci 10,,,,,23520463.0,ns,312
fibonacci 10,,,,,24994965.0,ns,325
fibonacci 10,,,,,26359712.0,ns,338
fibonacci 10,,,,,27417883.0,ns,351
fibonacci 10,,,,,28939359.0,ns,364
fibonacci 10,,,,,29712187.0,ns,377
fibonacci 10,,,,,30937944.0,ns,390
fibonacci 10,,,,,31621360.0,ns,403
fibonacci 10,,,,,33485488.0,ns,416
fibonacci 10,,,,,33743435.0,ns,429
fibonacci 10,,,,,34525405.0,ns,442
fibonacci 10,,,,,36106388.0,ns,455
fibonacci 10,,,,,36872503.0,ns,468
fibonacci 10,,,,,38028994.0,ns,481
fibonacci 10,,,,,38698613.0,ns,494
fibonacci 10,,,,,40158244.0,ns,507
fibonacci 10,,,,,40595402.0,ns,520
fibonacci 10,,,,,41879730.0,ns,533
fibonacci 10,,,,,42708802.0,ns,546
fibonacci 10,,,,,43830872.0,ns,559
fibonacci 10,,,,,45020742.0,ns,572
fibonacci 10,,,,,46982055.0,ns,585
fibonacci 10,,,,,47110338.0,ns,598
fibonacci 10,,,,,47876883.0,ns,611
fibonacci 10,,,,,49818865.0,ns,624
fibonacci 10,,,,,50107599.0,ns,637
fibonacci 10,,,,,52531324.0,ns,650
fibonacci 10,,,,,52102297.0,ns,663
fibonacci 10,,,,,52557868.0,ns,676
fibonacci 10,,,,,53759365.0,ns,689
fibonacci 10,,,,,55464350.0,ns,702
fibonacci 10,,,,,56266787.0,ns,715
fibonacci 10,,,,,56895605.0,ns,728
fibonacci 10,,,,,58870732.0,ns,741
fibonacci 10,,,,,59333672.0,ns,754
fibonacci 10,,,,,59671201.0,ns,767
fibonacci 10,,,,,61370045.0,ns,780
fibonacci 10,,,,,62327557.0,ns,793
fibonacci 10,,,,,63029577.0,ns,806
fibonacci 10,,,,,64971192.0,ns,819
fibonacci 10,,,,,65030255.0,ns,832
fibonacci 10,,,,,66397558.0,ns,845
fibonacci 10,,,,,66661623.0,ns,858
fibonacci 10,,,,,68129459.0,ns,871
fibonacci 10,,,,,68237639.0,ns,884
fibonacci 10,,,,,70168367.0,ns,897
fibonacci 10,,,,,71026007.0,ns,910
fibonacci 10,,,,,72376736.0,ns,923
fibonacci 10,,,,,72405108.0,ns,936
fibonacci 10,,,,,74347735.0,ns,949
fibonacci 10,,,,,75076828.0,ns,962
fibonacci 10,,,,,76109541.0,ns,975
fibonacci 10,,,,,77122663.0,ns,988
fibonacci 10,,,,,79594401.0,ns,1001
fibonacci 10,,,,,80549461.0,ns,1014
fibonacci 10,,,,,80572875.0,ns,1027
fibonacci 10,,,,,81308466.0,ns,1040
fibonacci 10,,,,,82331053.0,ns,1053
fibonacci 10,,,,,82996503.0,ns,1066
fibonacci 10,,,,,84843581.0,ns,1079
fibonacci 10,,,,,85107960.0,ns,1092
fibonacci 10,,,,,87011296.0,ns,1105
fibonacci 10,,,,,87231882.0,ns,1118
fibonacci 10,,,,,88527035.0,ns,1131
fibonacci 10,,,,,89142116.0,ns,1144
fibonacci 10,,,,,89769086.0,ns,1157
fibonacci 10,,,,,90954405.0,ns,1170
fibonacci 10,,,,,92292673.0,ns,1183
fibonacci 10,,,,,93485257.0,ns,1196
fibonacci 10,,,,,93628400.0,ns,1209
fibonacci 10,,,,,96943485.0,ns,1222
fibonacci 10,,,,,97141791.0,ns,1235
fibonacci 10,,,,,97180189.0,ns,1248
fibonacci 10,,,,,97598463.0,ns,1261
fibonacci 10,,,,,108239747.0,ns,1274
fibonacci 10,,,,,117545972.0,ns,1287
fibonacci 10,,,,,105289089.0,ns,1300
