group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 20,,,,,11238499.0,ns,1
fibonacci 20,,,,,21855322.0,ns,2
fibonacci 20,,,,,32838767.0,ns,3
fibonacci 20,,,,,43572070.0,ns,4
fibonacci 20,,,,,54815394.0,ns,5
fibonacci 20,,,,,66222993.0,ns,6
fibonacci 20,,,,,77845950.0,ns,7
fibonacci 20,,,,,88369155.0,ns,8
fibonacci 20,,,,,98839598.0,ns,9
fibonacci 20,,,,,110012499.0,ns,10
fibonacci 20,,,,,118025233.0,ns,11
fibonacci 20,,,,,128415689.0,ns,12
fibonacci 20,,,,,139010701.0,ns,13
fibonacci 20,,,,,148917519.0,ns,14
fibonacci 20,,,,,159737207.0,ns,15
fibonacci 20,,,,,169551744.0,ns,16
fibonacci 20,,,,,180937738.0,ns,17
fibonacci 20,,,,,191899609.0,ns,18
fibonacci 20,,,,,202050368.0,ns,19
fibonacci 20,,,,,211830787.0,ns,20
fibonacci 20,,,,,223152504.0,ns,21
fibonacci 20,,,,,232893184.0,ns,22
fibonacci 20,,,,,244197665.0,ns,23
fibonacci 20,,,,,254491736.0,ns,24
fibonacci 20,,,,,264114336.0,ns,25
fibonacci 20,,,,,274473586.0,ns,26
fibonacci 20,,,,,285202660.0,ns,27
fibonacci 20,,,,,294860538.0,ns,28
fibonacci 20,,,,,307257572.0,ns,29
fibonacci 20,,,,,318142736.0,ns,30
fibonacci 20,,,,,346232814.0,ns,31
fibonacci 20,,,,,345230450.0,ns,32
fibonacci 20,,,,,369959481.0,ns,33
fibonacci 20,,,,,369548811.0,ns,34
fibonacci 20,,,,,372997655.0,ns,35
fibonacci 20,,,,,382888047.0,ns,36
fibonacci 20,,,,,393914447.0,ns,37
fibonacci 20,,,,,404386145.0,ns,38
fibonacci 20,,,,,412803304.0,ns,39
fibonacci 20,,,,,423812130.0,ns,40
fibonacci 20,,,,,432958683.0,ns,41
fibonacci 20,,,,,444155124.0,ns,42
fibonacci 20,,,,,455162608.0,ns,43
fibonacci 20,,,,,464067547.0,ns,44
fibonacci 20,,,,,475861432.0,ns,45
fibonacci 20,,,,,504899949.0,ns,46
fibonacci 20,,,,,512690227.0,ns,47
fibonacci 20,,,,,513272158.0,ns,48
fibonacci 20,,,,,527526609.0,ns,49
fibonacci 20,,,,,535506515.0,ns,50
fibonacci 20,,,,,546712184.0,ns,51
fibonacci 20,,,,,563319695.0,ns,52
fibonacci 20,,,,,586054112.0,ns,53
fibonacci 20,,,,,591432265.0,ns,54
fibonacci 20,,,,,587850406.0,ns,55
fibonacci 20,,,,,661369646.0,ns,56
fibonacci 20,,,,,649951385.0,ns,57
fibonacci 20,,,,,623226283.0,ns,58
fibonacci 20,,,,,628065156.0,ns,59
fibonacci 20,,,,,638744520.0,ns,60
fibonacci 20,,,,,650602261.0,ns,61
fibonacci 20,,,,,658887674.0,ns,62
fibonacci 20,,,,,676531527.0,ns,63
fibonacci 20,,,,,676769117.0,ns,64
fibonacci 20,,,,,709550428.0,ns,65
fibonacci 20,,,,,697267848.0,ns,66
fibonacci 20,,,,,707069721.0,ns,67
fibonacci 20,,,,,716620884.0,ns,68
fibonacci 20,,,,,738233990.0,ns,69
fibonacci 20,,,,,741116932.0,ns,70
fibonacci 20,,,,,766880015.0,ns,71
fibonacci 20,,,,,791540487.0,ns,72
fibonacci 20,,,,,789170324.0,ns,73
fibonacci 20,,,,,783082238.0,ns,74
fibonacci 20,,,,,823407318.0,ns,75
fibonacci 20,,,,,811219585.0,ns,76
fibonacci 20,,,,,819500320.0,ns,77
fibonacci 20,,,,,819575532.0,ns,78
fibonacci 20,,,,,882960375.0,ns,79
fibonacci 20,,,,,852149680.0,ns,80
fibonacci 20,,,,,853507625.0,ns,81
fibonacci 20,,,,,859501315.0,ns,82
fibonacci 20,,,,,879760476.0,ns,83
fibonacci 20,,,,,889227921.0,ns,84
fibonacci 20,,,,,925070159.0,ns,85
fibonacci 20,,,,,926740479.0,ns,86
fibonacci 20,,,,,903959000.0,ns,87
fibonacci 20,,,,,923248301.0,ns,88
fibonacci 20,,,,,936914250.0,ns,89
fibonacci 20,,,,,938370028.0,ns,90
fibonacci 20,,,,,958342863.0,ns,91
fibonacci 20,,,,,1000697734.0,ns,92
fibonacci 20,,,,,980599385.0,ns,93
fibonacci 20,,,,,991107377.0,ns,94
fibonacci 20,,,,,988631347.0,ns,95
fibonacci 20,,,,,1007703140.0,ns,96
fibonacci 20,,,,,1063458327.0,ns,97
fibonacci 20,,,,,1041168632.0,ns,98
fibonacci 20,,,,,1047157491.0,ns,99
fibonacci 20,,,,,1053741461.0,ns,100
