group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
use all functionality,,,,,1509964.0,ns,1
use all functionality,,,,,2944389.0,ns,2
use all functionality,,,,,5070335.0,ns,3
use all functionality,,,,,6051241.0,ns,4
use all functionality,,,,,7310321.0,ns,5
use all functionality,,,,,9399225.0,ns,6
use all functionality,,,,,11409590.0,ns,7
use all functionality,,,,,9844641.0,ns,8
use all functionality,,,,,14126493.0,ns,9
use all functionality,,,,,23937669.0,ns,10
use all functionality,,,,,14997417.0,ns,11
use all functionality,,,,,18404923.0,ns,12
use all functionality,,,,,23037638.0,ns,13
use all functionality,,,,,24682610.0,ns,14
use all functionality,,,,,17916665.0,ns,15
use all functionality,,,,,27689011.0,ns,16
use all functionality,,,,,31932170.0,ns,17
use all functionality,,,,,20055266.0,ns,18
use all functionality,,,,,36352859.0,ns,19
use all functionality,,,,,27586496.0,ns,20
use all functionality,,,,,27493963.0,ns,21
use all functionality,,,,,31468219.0,ns,22
use all functionality,,,,,36130658.0,ns,23
use all functionality,,,,,26454354.0,ns,24
use all functionality,,,,,38888224.0,ns,25
use all functionality,,,,,36749581.0,ns,26
use all functionality,,,,,42371003.0,ns,27
use all functionality,,,,,46044250.0,ns,28
use all functionality,,,,,44126321.0,ns,29
use all functionality,,,,,52352041.0,ns,30
use all functionality,,,,,52074138.0,ns,31
use all functionality,,,,,47868528.0,ns,32
use all functionality,,,,,54381328.0,ns,33
use all functionality,,,,,50996591.0,ns,34
use all functionality,,,,,50955602.0,ns,35
use all functionality,,,,,47226649.0,ns,36
use all functionality,,,,,56740280.0,ns,37
use all functionality,,,,,54808379.0,ns,38
use all functionality,,,,,54835420.0,ns,39
use all functionality,,,,,57261346.0,ns,40
use all functionality,,,,,56916936.0,ns,41
use all functionality,,,,,72509623.0,ns,42
use all functionality,,,,,59119331.0,ns,43
use all functionality,,,,,58129985.0,ns,44
use all functionality,,,,,69840679.0,ns,45
use all functionality,,,,,71659805.0,ns,46
use all functionality,,,,,71109632.0,ns,47
use all functionality,,,,,65516353.0,ns,48
use all functionality,,,,,64147570.0,ns,49
use all functionality,,,,,78097245.0,ns,50
use all functionality,,,,,66808554.0,ns,51
use all functionality,,,,,81220847.0,ns,52
use all functionality,,,,,88605231.0,ns,53
use all functionality,,,,,81201909.0,ns,54
use all functionality,,,,,79099034.0,ns,55
use all functionality,,,,,80248371.0,ns,56
use all functionality,,,,,85467075.0,ns,57
use all functionality,,,,,86496256.0,ns,58
use all functionality,,,,,83511978.0,ns,59
use all functionality,,,,,87845287.0,ns,60
use all functionality,,,,,92244043.0,ns,61
use all functionality,,,,,87311581.0,ns,62
use all functionality,,,,,92494132.0,ns,63
use all functionality,,,,,97006646.0,ns,64
use all functionality,,,,,95250651.0,ns,65
use all functionality,,,,,96216941.0,ns,66
use all functionality,,,,,92849575.0,ns,67
use all functionality,,,,,105183074.0,ns,68
use all functionality,,,,,105351700.0,ns,69
use all functionality,,,,,108186840.0,ns,70
use all functionality,,,,,99551822.0,ns,71
use all functionality,,,,,107645010.0,ns,72
use all functionality,,,,,106819550.0,ns,73
use all functionality,,,,,131953626.0,ns,74
use all functionality,,,,,128505890.0,ns,75
use all functionality,,,,,130922100.0,ns,76
use all functionality,,,,,125031796.0,ns,77
use all functionality,,,,,125388303.0,ns,78
use all functionality,,,,,128686684.0,ns,79
use all functionality,,,,,113273712.0,ns,80
use all functionality,,,,,109877384.0,ns,81
use all functionality,,,,,124908707.0,ns,82
use all functionality,,,,,122166317.0,ns,83
use all functionality,,,,,120832413.0,ns,84
use all functionality,,,,,136710501.0,ns,85
use all functionality,,,,,124184018.0,ns,86
use all functionality,,,,,125730146.0,ns,87
use all functionality,,,,,128644495.0,ns,88
use all functionality,,,,,131619733.0,ns,89
use all functionality,,,,,118210726.0,ns,90
use all functionality,,,,,147236122.0,ns,91
use all functionality,,,,,137040558.0,ns,92
use all functionality,,,,,130045570.0,ns,93
use all functionality,,,,,134259580.0,ns,94
use all functionality,,,,,140386373.0,ns,95
use all functionality,,,,,134004919.0,ns,96
use all functionality,,,,,149535249.0,ns,97
use all functionality,,,,,147755255.0,ns,98
use all functionality,,,,,155239582.0,ns,99
use all functionality,,,,,142589026.0,ns,100
