group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
use all functionality,,,,,799345.0,ns,1
use all functionality,,,,,1584560.0,ns,2
use all functionality,,,,,10918990.0,ns,3
use all functionality,,,,,3355335.0,ns,4
use all functionality,,,,,3940627.0,ns,5
use all functionality,,,,,9200573.0,ns,6
use all functionality,,,,,8617917.0,ns,7
use all functionality,,,,,10948886.0,ns,8
use all functionality,,,,,15946807.0,ns,9
use all functionality,,,,,13417231.0,ns,10
use all functionality,,,,,15764140.0,ns,11
use all functionality,,,,,18177558.0,ns,12
use all functionality,,,,,18880577.0,ns,13
use all functionality,,,,,19617005.0,ns,14
use all functionality,,,,,21100973.0,ns,15
use all functionality,,,,,24972265.0,ns,16
use all functionality,,,,,22347415.0,ns,17
use all functionality,,,,,28848076.0,ns,18
use all functionality,,,,,30738325.0,ns,19
use all functionality,,,,,24247699.0,ns,20
use all functionality,,,,,33551197.0,ns,21
use all functionality,,,,,39060051.0,ns,22
use all functionality,,,,,27832088.0,ns,23
use all functionality,,,,,40308790.0,ns,24
use all functionality,,,,,37129197.0,ns,25
use all functionality,,,,,35273034.0,ns,26
use all functionality,,,,,40756774.0,ns,27
use all functionality,,,,,38121045.0,ns,28
use all functionality,,,,,45680379.0,ns,29
use all functionality,,,,,45887965.0,ns,30
use all functionality,,,,,50611843.0,ns,31
use all functionality,,,,,44949743.0,ns,32
use all functionality,,,,,46122850.0,ns,33
use all functionality,,,,,52290010.0,ns,34
use all functionality,,,,,53416557.0,ns,35
use all functionality,,,,,52807369.0,ns,36
use all functionality,,,,,58373455.0,ns,37
use all functionality,,,,,54672891.0,ns,38
use all functionality,,,,,61732402.0,ns,39
use all functionality,,,,,65443792.0,ns,40
use all functionality,,,,,57401377.0,ns,41
use all functionality,,,,,67014970.0,ns,42
use all functionality,,,,,59121557.0,ns,43
use all functionality,,,,,63444314.0,ns,44
use all functionality,,,,,68458488.0,ns,45
use all functionality,,,,,66203401.0,ns,46
use all functionality,,,,,70946582.0,ns,47
use all functionality,,,,,72407091.0,ns,48
use all functionality,,,,,76243988.0,ns,49
use all functionality,,,,,71733242.0,ns,50
use all functionality,,,,,66382113.0,ns,51
use all functionality,,,,,79360991.0,ns,52
use all functionality,,,,,82278843.0,ns,53
use all functionality,,,,,86614032.0,ns,54
use all functionality,,,,,84833130.0,ns,55
use all functionality,,,,,88022815.0,ns,56
use all functionality,,,,,88226773.0,ns,57
use all functionality,,,,,88576879.0,ns,58
use all functionality,,,,,96674493.0,ns,59
use all functionality,,,,,85668372.0,ns,60
use all functionality,,,,,83725197.0,ns,61
use all functionality,,,,,84318795.0,ns,62
use all functionality,,,,,96145566.0,ns,63
use all functionality,,,,,96444961.0,ns,64
use all functionality,,,,,93853227.0,ns,65
use all functionality,,,,,94651898.0,ns,66
use all functionality,,,,,100205589.0,ns,67
use all functionality,,,,,94885625.0,ns,68
use all functionality,,,,,111444126.0,ns,69
use all functionality,,,,,92764822.0,ns,70
use all functionality,,,,,104445775.0,ns,71
use all functionality,,,,,107083110.0,ns,72
use all functionality,,,,,118005215.0,ns,73
use all functionality,,,,,113769348.0,ns,74
use all functionality,,,,,105371899.0,ns,75
use all functionality,,,,,114793616.0,ns,76
use all functionality,,,,,115294054.0,ns,77
use all functionality,,,,,113685487.0,ns,78
use all functionality,,,,,130338540.0,ns,79
use all functionality,,,,,139350139.0,ns,80
use all functionality,,,,,149577936.0,ns,81
use all functionality,,,,,144689192.0,ns,82
use all functionality,,,,,157027630.0,ns,83
use all functionality,,,,,140107401.0,ns,84
use all functionality,,,,,124097741.0,ns,85
use all functionality,,,,,127198277.0,ns,86
use all functionality,,,,,122415778.0,ns,87
use all functionality,,,,,141943454.0,ns,88
use all functionality,,,,,144105073.0,ns,89
use all functionality,,,,,138787379.0,ns,90
use all functionality,,,,,140924759.0,ns,91
use all functionality,,,,,136324690.0,ns,92
use all functionality,,,,,132221442.0,ns,93
use all functionality,,,,,142924264.0,ns,94
use all functionality,,,,,150532754.0,ns,95
use all functionality,,,,,137252693.0,ns,96
use all functionality,,,,,141598709.0,ns,97
use all functionality,,,,,151782677.0,ns,98
use all functionality,,,,,138788112.0,ns,99
use all functionality,,,,,144275880.0,ns,100
